Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Irregularidade;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;
2020;4º;Grupo Secundário;Conglomerado; ;ABC-BRASIL (conglomerado);Irregularidades relativas a telemarketing, SMS ou Whatsapp com oferta de produtos e serviços;0;0;1;1;
2020;4º;Grupo Secundário;Conglomerado; ;ABC-BRASIL (conglomerado);Prestação de serviço de forma irregular em conta-salário;0;1;0;1;
2020;4º;Grupo Secundário;Conglomerado; ;AGIBANK (conglomerado);Abertura de conta de depósito com documentação falsa;3;2;0;5;
2020;4º;Grupo Secundário;Conglomerado; ;AGIBANK (conglomerado);Ausência de título adequado relativo a cartão de crédito consignado;0;2;0;2;
2020;4º;Grupo Secundário;Conglomerado; ;AGIBANK (conglomerado);Bloqueio de conta;0;0;1;1;
2020;4º;Grupo Secundário;Conglomerado; ;AGIBANK (conglomerado);Cancelamento de contrato a pedido do cliente não atendido;0;3;0;3;
2020;4º;Grupo Secundário;Conglomerado; ;AGIBANK (conglomerado);Cartões de débito;0;0;1;1;
2020;4º;Grupo Secundário;Conglomerado; ;AGIBANK (conglomerado);Cobrança irregular de tarifa relacionada a conta ou serviços acessórios à conta;0;1;0;1;
2020;4º;Grupo Secundário;Conglomerado; ;AGIBANK (conglomerado);Cobrança irregular de tarifa relacionada ao cartão de crédito;1;3;0;4;
2020;4º;Grupo Secundário;Conglomerado; ;AGIBANK (conglomerado);Cobranças diversas;0;0;7;7;
2020;4º;Grupo Secundário;Conglomerado; ;AGIBANK (conglomerado);Concessão de crédito (exceto consignado) sem a formalização do título adequado;0;4;0;4;
2020;4º;Grupo Secundário;Conglomerado; ;AGIBANK (conglomerado);Concessão de crédito consignado mediante a formalização de título adequado com base em documentação falsa;1;1;0;2;
2020;4º;Grupo Secundário;Conglomerado; ;AGIBANK (conglomerado);Concessão de crédito consignado sem a formalização do título adequado;0;2;0;2;
2020;4º;Grupo Secundário;Conglomerado; ;AGIBANK (conglomerado);Crédito consignado;0;0;4;4;
2020;4º;Grupo Secundário;Conglomerado; ;AGIBANK (conglomerado);Descumprimento de prazo de resposta da reclamação registrada no BCB;0;4;0;4;
2020;4º;Grupo Secundário;Conglomerado; ;AGIBANK (conglomerado);Débito em conta de depósito não autorizado pelo cliente;0;3;0;3;
