Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Irregularidade;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado);Descumprimento contratual;0;0;1;1;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado);Insatisfação com o atendimento prestado por agências;0;0;1;1;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Ausência de informações sobre as regras de funcionamento nos contratos de cartões de crédito ou seu descumprimento;1;2;0;3;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Ausência de título adequado relativo a cartão de crédito consignado;2;3;0;5;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Bloqueio de cartão de crédito;0;0;1;1;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Bloqueio de margem consignável sem liberação do empréstimo (exceto cartão de crédito consignável);0;0;1;1;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Bloqueio de margem consignável sem utilização do crédito pelo cliente - Cartão de crédito consignável;0;0;4;4;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Cancelamento de contrato a pedido do cliente não atendido;2;3;0;5;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Cobranças diversas;0;0;1;1;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Cobranças diversas em operação de crédito consignado;0;0;9;9;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Concessão de crédito (exceto consignado) sem a formalização do título adequado;0;3;0;3;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Concessão de crédito consignado sem a formalização do título adequado;7;6;0;13;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Descumprimento contratual;0;0;4;4;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Descumprimento de prazo de resposta da reclamação registrada no BCB;3;3;0;6;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Encaminhamento de instrumentos de pagamento não solicitados;0;1;0;1;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Golpe;0;0;1;1;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Inclusão de dados incorretos no CCS (Cadastro de Clientes do Sistema Financeiro Nacional);0;1;0;1;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB;4;4;0;8;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Insatisfação com o atendimento prestado pelo SAC ou Central de Relacionamento;0;0;4;4;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Insatisfação com o atendimento prestado por agências;0;0;3;3;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades no processo de encerramento de conta de depósitos à vista;1;0;0;1;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades relacionadas ao fornecimento de contratos de operações de crédito consignado;5;3;0;8;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades relacionadas ao fornecimento de contratos de operações de crédito de outras modalidades, exceto crédito consignado, financiamento imobiliário e cartão de crédito.;9;4;0;13;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de demais operações de operações de crédito, exceto consignado e financiamento imobiliário;1;1;0;2;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de operações de crédito consignado;2;3;0;5;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades relacionadas ao fornecimento de documentos relativos a cartão de crédito;2;1;0;3;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades relacionadas ao fornecimento de informações sobre operações de crédito consignado (pessoa natural);2;0;0;2;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades relacionadas ao fornecimento de outros documentos, exceto os relativos a cartão de crédito, contratos e liquidação antecipada;1;2;0;3;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR);0;1;0;1;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços, exceto as relacionadas a cartão de crédito, cartão de débito, internet banking e ATMe serviços;3;15;0;18;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Juros;0;0;3;3;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Não liberação de margem consignável - Cartão de crédito consignável;0;0;4;4;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada;1;0;0;1;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Outros assuntos não regulados relacionados a cartão de crédito;0;0;3;3;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Prestação de serviço de forma irregular em conta-salário;1;0;0;1;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Reclamações relacionadas a assuntos diversos;0;0;2;2;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Renegociação de dívida (exceto cartão de crédito);0;0;18;18;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Renegociação de dívidas/encargos relacionadas a cartão de crédito;0;0;6;6;
2017;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Restrições cadastrais;0;0;2;2;
2017;2º;Menos de quatro milhões de clientes;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Descumprimento de prazo de resposta da reclamação registrada no BCB;1;0;0;1;
