Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado); ;1;0;1;2;21754;20276;3184;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);61,19;67;237;87;391;1094818;655307;836854;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;3;0;3;373794;134;373661;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;12;35;35;82;412199;268126;145228;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;27214112;AMAGGI S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1;1;3;5;8250;29;8231;
2020;2º;Menos de quatro milhões de clientes;Conglomerado; ;ANDBANK (conglomerado); ;0;1;2;3;3991;3991; ;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;23862762;AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;11;3;11;25;1221120;1221120; ;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;54403563;BANCO ARBI S.A.; ;1;1;0;2;12624;3496;9192;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;1;0;5;6;26121;1239;25195;
2020;2º;Mais de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;16,59;122;143;122;387;7350474; ;7350474;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S.A.; ;2;5;12;19;508852;448971;152171;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;33042151;BANCO DE LA NACION ARGENTINA; ;1;0;0;1;226;212;25;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;05040481;BANCO DE LAGE LANDEN BRASIL S.A.; ;0;0;2;2;35889;2;35887;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO DIGIMAIS S.A.;340,24;83;17;54;154;243941;123760;157649;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;27098060;BANCO DIGIO S.A.;19,03;26;66;59;151;1366248;166570;1357998;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.; ;7;14;43;64;879777;879777; ;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;04913711;BANCO DO ESTADO DO PARÁ S.A.;19,41;15;19;25;59;772617;719581;309266;
2020;2º;Mais de quatro milhões de clientes;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S.A.;0,86;7;23;44;74;8061030;7476513;2934554;
2020;2º;Menos de quatro milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S.A.; ;0;1;1;2;163909;4067;160338;
